epoch,train_loss,train_instance_acc,train_instance_prec,train_instance_recall,train_instance_f1,train_ma,train_pos_recall,train_neg_recall,valid_loss,valid_instance_acc,valid_instance_prec,valid_instance_recall,valid_instance_f1,valid_ma,valid_pos_recall,valid_neg_recall
0.0,45.675301269446,0.524587748881407,0.6808196588234261,0.6836194940676468,0.6629824777608434,0.6237670150662321,0.3475988329448213,0.8999351971876429,34.614631925310405,0.5864588534762412,0.748757806243245,0.7079840888888824,0.7241862981650375,0.6471975805802163,0.3505134027566246,0.9438817584038074
1.0,29.2453297343334,0.6598977151706552,0.7965785930511455,0.7674584390855675,0.7786600348449493,0.6925895053972827,0.43185568881997016,0.953323321974595,30.897954524064264,0.6415054630252374,0.7884564721228647,0.7449514157566086,0.7626622066245805,0.6847009076158465,0.4207254720105355,0.9486763432211573
2.0,24.881654100045147,0.7092578876077221,0.8230363576705956,0.8079814271894888,0.8130314857408181,0.7295856677558229,0.4998199601072181,0.959351375404428,27.57946024021181,0.6752155371999501,0.8080696905494693,0.7756124596078157,0.7883970952242613,0.7200648440628796,0.4865315451140378,0.9535981430117217
3.0,22.30161584822159,0.7381750482281694,0.8404689083881248,0.8305451107452797,0.8333203397998104,0.7532973909832998,0.54304268091334,0.9635521010532593,27.088017760204668,0.6744528451043036,0.7977695630729182,0.7795411191846645,0.7859466162514331,0.736650849202438,0.5166809535659178,0.956620744838958
4.0,20.324639101934167,0.7598090051659832,0.8535767262703794,0.847345099194751,0.8484469800276732,0.7688911657851387,0.5710636013137378,0.9667187302565392,24.508323493124056,0.7096813215382407,0.808649024806803,0.8179326987811538,0.811315241076824,0.7599569434913733,0.5633510659912221,0.9565628209915242
5.0,18.765921443534296,0.7767237639106167,0.8632411844562975,0.8607671995477622,0.8601822159454142,0.7840387059295213,0.598896984650762,0.9691804272082802,23.677907222459297,0.7276286053991833,0.8242672428554465,0.8270734973021971,0.8239158949233206,0.7544142625600427,0.5494780371467418,0.9593504879733437
6.0,17.548172210181892,0.7917165869435848,0.8725558656871147,0.8723606104477661,0.8707800150766755,0.7936671121001598,0.6159013114052736,0.9714329127950464,23.080591858935957,0.7361115553858663,0.8427751390664848,0.8194328705565161,0.8288304426068791,0.7742055742758811,0.5851654106264763,0.963245737925286
7.0,16.1813424605897,0.8077486851591603,0.88284763240249,0.8843175415730716,0.8819998543529873,0.8061428501344478,0.6383038609135911,0.973981839355304,22.697525601427095,0.7411652907753287,0.8336070391090958,0.8351928046651447,0.8325748063824664,0.7758602648605112,0.5897260507878322,0.9619944789331902
8.0,15.118941989024924,0.8204483173288345,0.8907446706784802,0.8936616748171052,0.8907010101331045,0.8146686180057503,0.6535008034988775,0.9758364325126228,22.047827247811966,0.7534996576186536,0.8470185946728906,0.8387139045108839,0.8411858594012098,0.7758502653022209,0.5885541480470899,0.9631463825573515
9.0,14.025679146111344,0.8339510114497839,0.8990191054693885,0.9035494117655802,0.8998410079200826,0.8256816694617248,0.6733519858788443,0.9780113530446053,22.56891281063817,0.7514838876194644,0.8424714335727826,0.8392862555372994,0.8391884603981143,0.7740085482268428,0.5870070822794146,0.961010014174271
