epoch,train_loss,train_instance_acc,train_instance_prec,train_instance_recall,train_instance_f1,train_ma,train_pos_recall,train_neg_recall,valid_loss,valid_instance_acc,valid_instance_prec,valid_instance_recall,valid_instance_f1,valid_ma,valid_pos_recall,valid_neg_recall,filename
29.0,2.9593838673064163,0.9859335396956588,0.9908866836939184,0.9946336553491107,0.9925507447301608,0.9340809105915472,0.8698037116811591,0.9983581095019352,20.395110563069828,0.8116954026484542,0.8886499570447702,0.8773104691446054,0.8816463963004145,0.8222881985394125,0.6715777710267629,0.9729986260520624,PETA_resnet101_20200920-073345.csv
30.0,1.814387777664142,0.99558069178911,0.9970893968153828,0.9984318070386996,0.997688367970396,0.9471333120004352,0.8947568099717895,0.9995098140290808,21.03045281642625,0.8109228562366435,0.8913198598215963,0.8730721055000528,0.8807164500776121,0.8163750303719063,0.6591971418820209,0.9735529188617916,PETA_resnext50_32x4d_20200906-151430.csv
48.0,1.7884687837941686,0.9960158815047196,0.9975338272084646,0.9984302464670316,0.9979132157455268,0.9380882958558334,0.8765790204442173,0.9995975712674496,20.323067993676965,0.8166821839053942,0.8955364669441733,0.8765906104350224,0.8845961199968508,0.8157478940714504,0.6570055705298097,0.9744902176130908,PETA_dpn131_20200906-115445.csv
21.0,2.041075993516592,0.9947452651095006,0.9966549155329912,0.9980218108605046,0.9972385152314778,0.9388930963133306,0.8783486045165516,0.99943758811011,20.01371526317436,0.8163201584983067,0.8918720808277596,0.8797852100034559,0.8845498047281197,0.8222381553668631,0.670829306060252,0.973647004673474,PETA_resnext101_32x8d_20200906-161038.csv
49.0,2.7092634752476017,0.9877731867089454,0.9923576260065892,0.9951487791620898,0.9935459288225024,0.9273126059053304,0.8560130556141994,0.9986121561964616,21.05446811483688,0.8090549667775124,0.8868992252367017,0.8747915252402124,0.8794843091145244,0.8115816168579831,0.6508292854979627,0.9723339482180032,PETA_dpn68_20200906-051053.csv
44.0,2.0745781054043904,0.9946321035564356,0.9966830577964784,0.9978806951912804,0.9971849835037746,0.934418461446762,0.8694239225027268,0.9994130003907972,20.483652820106315,0.8152877667293167,0.8915728683556655,0.8783643251307878,0.8836749548825422,0.8157008654990971,0.6581852278742937,0.9732165031239008,PETA_dpn92_20200906-063851.csv
16.0,4.914747717660234,0.9581882360363544,0.9742013771349562,0.9817809805723792,0.9774060952626716,0.9129788064353672,0.8310424316362827,0.994915181234452,20.508943060866926,0.7971839799632001,0.8785561297046245,0.8681334563060417,0.8718704804110262,0.8071070884200245,0.643377085518057,0.970837091321992,PETA_densenet121_20200906-161404.csv
43.0,1.77774671868905,0.9960117532807568,0.9974149751644864,0.9985301777670604,0.9979130183110068,0.9551002278652498,0.9106354381861383,0.9995650175443614,20.41760191396505,0.818617924504935,0.8972638216000457,0.8773785632095983,0.8858504016120765,0.8215048734346841,0.6678168623406143,0.975192884528754,PETA_se_resnet101_20200927-062619.csv
24.0,1.4961465890181131,0.9973795974411198,0.9983505052682276,0.9990051131830198,0.9986299209620888,0.9438082140198852,0.887877336094933,0.9997390919448382,20.111755691656548,0.8192080801483534,0.8971722704771782,0.878583779534743,0.8864877875994965,0.8197702220088037,0.66461040165071,0.9749300423668976,PETA_dpn107_20200906-070344.csv
31.0,2.272783225475077,0.9910664268463478,0.9943417001777152,0.9965905973322869,0.9953217172549528,0.9326126121644001,0.8662270633797962,0.9989981609490036,20.947671425442735,0.8105068287520271,0.8881672595595522,0.8752785655889472,0.8803906018198251,0.8119870422195821,0.6509735507215225,0.9730005337176412,PETA_dpn68b_20200906-053914.csv
27.0,3.808234503815294,0.9758904935979594,0.9847977916393472,0.9902132825755016,0.9871559941036632,0.9234644123258458,0.8498302167789091,0.9970986078727816,20.37550540731734,0.8023684818748812,0.8814512958328085,0.8708862848469945,0.8748258348893656,0.8139914335089469,0.6557955027790617,0.972187364238832,PETA_resnet50_20200905-234508.csv
34.0,1.7439724340119176,0.9956316973228432,0.9971653343032172,0.9984113894225921,0.997720142156062,0.9565816886445586,0.9136654320962612,0.9994979451928562,21.371454014497644,0.8122690360953905,0.8929780579796927,0.8727421267542815,0.8813603391641728,0.815798358405277,0.6575408096728481,0.9740559071377058,PETA_se_resnet50_20200906-060840.csv
