epoch,train_loss,train_instance_acc,train_instance_prec,train_instance_recall,train_instance_f1,train_ma,train_pos_recall,train_neg_recall,valid_loss,valid_instance_acc,valid_instance_prec,valid_instance_recall,valid_instance_f1,valid_ma,valid_pos_recall,valid_neg_recall,filename
1.0,42.89871730484776,0.5541345057750929,0.7028371382118345,0.7070792498566859,0.687966177862637,0.6463538078924295,0.3835956184840074,0.9091119973008518,29.956990314131023,0.6510014127026851,0.7963220264761175,0.7550790268965324,0.772022073660695,0.6905588103901174,0.4280649582811623,0.9530526624990728,PETA_resnet101_20200920-073345.csv
2.0,25.74739737484042,0.7036399498225945,0.8212183146818962,0.8028221850117727,0.8094827914499703,0.7253141333511696,0.4918371985001914,0.9587910682021478,26.475474477816032,0.6837133214579251,0.8033710728042072,0.7898790465086394,0.7940380197189306,0.7294560472662692,0.5035841851506531,0.9553279093818854,PETA_resnet101_20200920-073345.csv
3.0,21.47431285154886,0.7479304788472245,0.846911766575662,0.8382117632298299,0.8405196749756961,0.7609735454556991,0.5568629083396401,0.9650841825717582,24.000887157536354,0.7231833071134689,0.8263288372048354,0.8210344580650869,0.8217316594570748,0.7538338040542204,0.5492141584930679,0.9584534496153728,PETA_resnet101_20200920-073345.csv
4.0,19.0386312314252,0.775439798509791,0.8627515861752044,0.8601642897816822,0.8596144709539199,0.7821111908421788,0.5953012821973879,0.9689210994869698,21.63744868751333,0.7434308825422575,0.8441906449520868,0.8309436501061174,0.8355197864825551,0.7706454741875672,0.5770923388317968,0.9641986095433378,PETA_resnet101_20200920-073345.csv
5.0,17.102288150254573,0.7985430252484803,0.8774430731946969,0.8773721592169531,0.8757568360151169,0.7994492523764317,0.6263374221508019,0.9725610826020616,22.855679648263113,0.7361371602298515,0.8355419385332763,0.8268239041569658,0.8293954804102027,0.7738227666349601,0.5858672130038646,0.9617783202660558,PETA_resnet101_20200920-073345.csv
6.0,15.635121910265706,0.8143350093581615,0.887347650954181,0.8893467736585708,0.8867621867497837,0.8136119911525689,0.6522105586871821,0.9750134236179554,21.59470583811527,0.7528078409267045,0.8453644953051037,0.8404607405363271,0.8411443659653277,0.7829377486376126,0.6024183263548343,0.963457170920391,PETA_resnet101_20200920-073345.csv
7.0,14.349766459544945,0.8300450696253654,0.8966233640966329,0.9009265062539771,0.8973684060772662,0.8258595735361836,0.6744213356488946,0.977297811423472,21.52642242046965,0.7590542279135017,0.8528231921772234,0.8426119819038844,0.8459653176603066,0.7839098535873247,0.6023444779777659,0.9654752291968836,PETA_resnet101_20200920-073345.csv
8.0,13.136155096512267,0.8435980048107549,0.9047157128785832,0.9110667547593264,0.906546184405182,0.8356005862261727,0.6920420996649289,0.9791590727874168,23.189213087578782,0.7449330038266815,0.8385458288629123,0.8345599896924497,0.8347846499679549,0.7818200681096503,0.6037644272230969,0.9598757089962034,PETA_resnet101_20200920-073345.csv
9.0,12.138235603630875,0.8567195179002179,0.9135495659096338,0.9196792646958141,0.9153032873392928,0.8446567354522216,0.7080235343293331,0.9812899365751102,22.124426561243396,0.7544567357092691,0.8471536082634054,0.8382598008512951,0.8409026567828966,0.7895036595643096,0.6141106792597162,0.9648966398689028,PETA_resnet101_20200920-073345.csv
10.0,11.210581001622717,0.8688709222921686,0.9210490243206452,0.9278742229475996,0.9232144386966584,0.8529669683839612,0.7229503359858694,0.9829836007820532,24.01978451063653,0.7526138017683536,0.8439568139438598,0.8390802563466581,0.839968916540608,0.7948455129472614,0.6251286931833033,0.9645623327112192,PETA_resnet101_20200920-073345.csv
11.0,10.256979675932305,0.8811055706337599,0.928869444262434,0.9353949948588821,0.9309935617596129,0.8617077067820675,0.7384745486286167,0.984940864935518,21.961539292535857,0.7647476944073813,0.8478965597209446,0.8512164676823051,0.8480463906158491,0.7964182101409262,0.6260559556835322,0.9667804645983205,PETA_resnet101_20200920-073345.csv
12.0,9.678501720535023,0.8889615281224217,0.933215668649042,0.9410896203669444,0.9360251806545246,0.8664231493877574,0.7471297661449006,0.9857165326306142,21.86614566290078,0.7749521712700155,0.8523392824254689,0.8629163046592573,0.8561671718617038,0.7973388308300852,0.6305258030669111,0.9641518585932588,PETA_resnet101_20200920-073345.csv
13.0,6.512118424783206,0.934724812046462,0.9604582269736274,0.9685828760671824,0.9637244531520652,0.8964793075487882,0.8010678286139721,0.9918907864836046,18.646431233702586,0.8067795218044809,0.8836873377316337,0.8755521752894961,0.8783137317368825,0.8155997462303103,0.6587669466963205,0.9724325457643,PETA_resnet101_20200920-073345.csv
14.0,5.0863514146325315,0.95621015936718,0.9739758584642711,0.9795098737058572,0.9761716764499496,0.9091016205673034,0.8233900261765111,0.994813214958096,18.77330170158579,0.8089757129936838,0.8841943375130801,0.8779098676447799,0.8797933261571098,0.8193068455786138,0.6659164556040493,0.972697235553178,PETA_resnet101_20200920-073345.csv
15.0,4.571663147910346,0.9642769525994732,0.9786091429434418,0.9837772504910766,0.9806984017812032,0.9126084339000008,0.8294007666864792,0.9958161011135228,19.38355154149673,0.8075498415139645,0.8837807299921984,0.8761021187908103,0.8786508044431998,0.8195759026477013,0.6664688394700103,0.972682965825392,PETA_resnet101_20200920-073345.csv
16.0,4.127367893410795,0.9701013750115356,0.9817774764320268,0.9869956547011398,0.9839628330889648,0.9172960217477916,0.8381733102098295,0.9964187332857536,19.569187645150837,0.8091554631118492,0.8852724223106843,0.877150997437375,0.8799069951139432,0.8191807399037371,0.6663063063106058,0.972055173496868,PETA_resnet101_20200920-073345.csv
17.0,3.771323651574844,0.974087545313964,0.9838894952268444,0.9891311087697148,0.9861360657516874,0.9226376203886801,0.8483547907184369,0.9969204500589232,20.171037738062754,0.8089951112414706,0.8860911835508697,0.8756523565912977,0.8795858737255164,0.8191852319082901,0.6661274410829322,0.9722430227336476,PETA_resnet101_20200920-073345.csv
18.0,3.5093847639733853,0.9774302200682394,0.9863144619745158,0.9902592020300084,0.9879434641435676,0.9234097451187672,0.8494664688722713,0.9973530213652628,20.101353140438302,0.8104126999102276,0.8881439630026022,0.8760034840370101,0.8807547538645991,0.8183654589662441,0.6640255264364241,0.9727053914960642,PETA_resnet101_20200920-073345.csv
19.0,3.1668087077540394,0.9828368945262276,0.9891912450113932,0.993146164454499,0.9909273773535046,0.9303180519655216,0.8627144049918608,0.9979216989391824,20.041348809955498,0.8098992528128139,0.8872628066796329,0.8759586063152444,0.880314646414187,0.8193477250222719,0.6656188172570704,0.9730766327874736,PETA_resnet101_20200920-073345.csv
20.0,3.0638727915353616,0.9842620934627716,0.9900307399191524,0.9938332201141696,0.9916883220346254,0.9312864416555632,0.864455051341874,0.9981178319692522,20.05085934711104,0.81038508342603,0.887795823951025,0.8762548514957061,0.8806949654592022,0.8200962800614451,0.6674260971828531,0.9727664629400368,PETA_resnet101_20200920-073345.csv
