epoch,train_loss,train_instance_acc,train_instance_prec,train_instance_recall,train_instance_f1,train_ma,train_pos_recall,train_neg_recall,valid_loss,valid_instance_acc,valid_instance_prec,valid_instance_recall,valid_instance_f1,valid_ma,valid_pos_recall,valid_neg_recall
0.0,93.02460224203882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.62977542396354,0.3693123255817277,0.7136450820636192,0.4224423139973338,0.528620112521933,0.5045003620485208,0.08262760221630037,0.9263731218807413
1.0,92.19936627769552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.37325017592487,0.49701324754254383,0.8039023045345607,0.5537864270520954,0.6516203823227835,0.5462082921929539,0.14394858686455403,0.9484679975213536
2.0,92.00337138256383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.96000767555557,0.5947849373283496,0.8343348977411478,0.6576900830010248,0.7314300775117001,0.5850398563036642,0.21388126897937743,0.956198443627951
3.0,91.89807356821758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.12934458756648,0.6521473143568798,0.8620429680828288,0.7080499598757298,0.7724183629816626,0.6199403988245027,0.27570029374417593,0.9641805039048296
4.0,91.83153276793888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.59751699752167,0.6798730468140267,0.8670792517731576,0.7351636842813822,0.79146193720625,0.63319166633235,0.30097601422830655,0.9654073184363936
5.0,91.78459363961373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.07462426193622,0.7016317986697697,0.8813225254769628,0.750936783470386,0.8063598649163578,0.654135318186937,0.33746827387397993,0.9708023624998943
6.0,91.74710110502599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.88273088471229,0.7165301442391635,0.8795877890395775,0.769378214025894,0.8170448010426705,0.6606930096475343,0.3522891922087107,0.9690968270863582
7.0,91.71809647378917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.66623944194377,0.7284704719835022,0.8821170630636269,0.7808550893743069,0.8246088203812278,0.6726182841387348,0.3757101273246594,0.9695264409528103
8.0,91.69262865913532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.45340305616875,0.736276220687937,0.8841842721177443,0.7882458146044384,0.8298316379252204,0.6797166248887337,0.39057042722982627,0.9688628225476412
9.0,91.67701239171824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.23850532339401,0.7428945786228731,0.881476526898929,0.7971087541318467,0.8339985726829622,0.6897650284790505,0.41009136883812597,0.9694386881199752
10.0,91.65259082964337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.25769972600857,0.7432875694148559,0.8806467563281051,0.7982135277625441,0.8344508783545739,0.6865004984961132,0.40099305268930147,0.9720079443029248
11.0,91.63492721985392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.09667834113625,0.7493751892821618,0.8844723797387865,0.8026567397052417,0.8385262733747736,0.6941183010706082,0.4177812073231158,0.9704553948181006
12.0,91.61954658500161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.1921936804507,0.7524338734875519,0.8863873340157661,0.8052048623591163,0.8405190545488102,0.6981253625320981,0.4270138963906861,0.9692368286735099
13.0,91.60700928679907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.94992661676487,0.7555395964326971,0.8816233476660394,0.812195052138739,0.8426391638757293,0.7047899626847949,0.43811170011215467,0.9714682252574351
14.0,91.59037267354833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.1232115801643,0.7558991089277702,0.8874129209368792,0.8080972722458638,0.8427394100600407,0.7064840765246271,0.4412626177436929,0.9717055353055609
15.0,91.58035371093855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.68710147633271,0.761509935124266,0.8838176129590044,0.8169500820155302,0.8462678201569107,0.7120745941045612,0.4534250642581639,0.9707241239509586
16.0,91.56995191986996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.7404097228491,0.7631945833473897,0.8873373237495671,0.817107080114927,0.847983575806992,0.7096339275650428,0.4487294032872823,0.9705384518428036
17.0,91.55883832944151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.76109230618518,0.7618012346094905,0.8879733526096774,0.8144526586126157,0.8467558172803676,0.7087962598646167,0.4457967261809617,0.9717957935482717
18.0,91.54759838885563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.66671111804096,0.7656153141556821,0.8856226070659781,0.8204874826399543,0.8492828255228342,0.7119513577958481,0.4539341066100743,0.9699686089816218
19.0,91.53925810438356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.78173308813271,0.7661058369358584,0.8875873928058526,0.8192893323318001,0.8493583405727919,0.7168322596837413,0.46198089714203117,0.9716836222254517
20.0,91.53285144342368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.83464242630646,0.7660533179331201,0.8873454217843018,0.8203905738597668,0.8496795058708705,0.7133187728062442,0.4566598242131492,0.9699777213993396
21.0,91.52259198362316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.61915075478433,0.7686392181598989,0.8894047093455447,0.82141611976458,0.8513547823883183,0.7196569541713866,0.46680146297600933,0.9725124453667641
22.0,91.51550525416555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.76331617852219,0.7600879594730833,0.8812598749792971,0.8162226841751753,0.8449039709548963,0.709960821075987,0.4502536200371086,0.9696680221148651
23.0,91.51472339926569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.64600545418362,0.7709529576803001,0.885041185660722,0.8278834014706844,0.8531172548199751,0.7173903444983872,0.4647017594461607,0.9700789295506135
24.0,91.50584918889015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.5635517665318,0.7693499018468634,0.8906724433541537,0.8209268069510605,0.8514455290176203,0.7203618055685849,0.4687182277520356,0.9720053833851341
25.0,91.49631514913925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.6200255065405,0.7689783227241009,0.8891778113346469,0.8210453904975811,0.850951808670204,0.7253351498745959,0.47812846251255775,0.9725418372366342
26.0,91.49139985192056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.56499019590747,0.7710856838849828,0.8853448295815496,0.827072308112673,0.8526971694923728,0.7258483085107368,0.4820314901361133,0.9696651268853604
27.0,91.4877055298537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.53623975224856,0.7734726469992386,0.8912155477589374,0.8260368238199527,0.8548367805068108,0.7226833180500959,0.4743835324861898,0.9709831036140016
28.0,91.4816084729304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.67818111131172,0.7691227434099964,0.8893227535702534,0.8210211775301038,0.8510522663187872,0.7222590333208403,0.47191831183840394,0.9725997548032765
