epoch,train_loss,train_instance_acc,train_instance_prec,train_instance_recall,train_instance_f1,train_ma,train_pos_recall,train_neg_recall,valid_loss,valid_instance_acc,valid_instance_prec,valid_instance_recall,valid_instance_f1,valid_ma,valid_pos_recall,valid_neg_recall
0.0,26.456365684428135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.73092548787093,0.010723436272371014,0.1693421052631579,0.010723436272371014,0.020165315335950416,0.5008775879544141,0.0017551759088280867,1.0
1.0,21.990290131182842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.46020494989988,0.009369724154844123,0.1481578947368421,0.009369724154844123,0.017621595727928218,0.5007674095725612,0.0015348191451222406,1.0
2.0,21.989270886766814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.72706950211726,0.007452062707674163,0.1181578947368421,0.007452062707674163,0.01401769736767496,0.5006112902171782,0.001222580434356416,1.0
3.0,21.987806103305765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.82753452333081,0.007872613164699078,0.12486842105263157,0.007872613164699078,0.014808974774297814,0.5006460071448798,0.0012920142897597316,1.0
4.0,21.989333807825737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.78856479420381,0.008396282939626593,0.13315789473684211,0.008396282939626593,0.015793878500331163,0.5006888927614525,0.0013777855229050037,1.0
5.0,21.988097469783412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.89927737452403,0.006237166138385179,0.09894736842105263,0.006237166138385179,0.011732778898902412,0.5005119045025813,0.0010238090051626113,1.0
6.0,21.99073808192984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.82371117086971,0.0072296442699886975,0.11473684210526315,0.0072296442699886975,0.013600032171402546,0.5005935913912911,0.001187182782582177,1.0
7.0,21.989453458110926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.94362736549698,0.005559614415941814,0.0881578947368421,0.005559614415941814,0.010457971492098506,0.5004560851286296,0.0009121702572592416,1.0
8.0,21.988038837334575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.84856837937812,0.006569277052926433,0.10421052631578948,0.006569277052926433,0.01235746092776197,0.5005391334654846,0.0010782669309691334,1.0
9.0,21.988697769759494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.97374731753052,0.006070794326502531,0.09631578947368422,0.006070794326502531,0.011419913401826387,0.5004982900211297,0.0009965800422593505,1.0
10.0,21.98845696000742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.95012677617434,0.006194601086048455,0.09828947368421052,0.006194601086048455,0.011652864038221295,0.5005085008822184,0.001017001764436796,1.0
11.0,21.988214625920694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.00256373301274,0.0060047038552263005,0.09526315789473684,0.0060047038552263005,0.011295570843935272,0.500492844228549,0.000985688457098046,1.0
12.0,21.989307372053332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.95969185708951,0.005926412231559291,0.09394736842105263,0.005926412231559291,0.011147776499974235,0.5004860369878232,0.0009720739756464156,1.0
13.0,21.988874171773038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.93020347787552,0.005991062214359428,0.095,0.005991062214359428,0.011269556052053608,0.5004914827804039,0.00098296556080772,1.0
14.0,21.988642056345014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.93515315977466,0.00579360779399479,0.09184210526315789,0.00579360779399479,0.010897948498598245,0.5004751454026619,0.0009502908053238069,1.0
15.0,21.98838697550361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.91017465030446,0.0069464024644945695,0.11013157894736843,0.0069464024644945695,0.013066469808322505,0.5005697660487507,0.0011395320975014704,1.0
16.0,21.98731998713993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.8969797086315,0.006163695083296476,0.09776315789473684,0.006163695083296476,0.01159447503164914,0.5005057779859281,0.001011555971856144,1.0
17.0,21.988475618835814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.82097234645812,0.007154293161259105,0.11342105263157895,0.007154293161259105,0.013457399402690261,0.5005867841505653,0.0011735683011305465,1.0
18.0,21.987817055394142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.78135879901276,0.008059718489285052,0.12789473684210526,0.008059718489285052,0.015161293587326258,0.5006616637985493,0.0013233275970984816,1.0
19.0,21.989723139635352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.88909033767315,0.0074081972701361245,0.11763157894736842,0.0074081972701361245,0.013936324560010807,0.5006085673208879,0.001217134641775764,1.0
20.0,21.989141926332977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.02009351714318,0.006551138876603272,0.10381578947368421,0.006551138876603272,0.01232260970657174,0.5005370912932668,0.001074182586533644,1.0
21.0,21.988291730594288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.90610183587596,0.006982089107572854,0.11078947368421052,0.006982089107572854,0.013134229345193578,0.5005731696691137,0.0011463393382272855,1.0
